cross_street_name,crimename1,crime_count
ELTON RD,Crime Against Not a Crime,4
ELTON RD,Crime Against Person,66
ELTON RD,"Crime Against Person, Property, or Society",8
ELTON RD,Crime Against Property,350
ELTON RD,Crime Against Society,55
ENNALLS AVE,Crime Against Society,3
ENT TO APTS,Crime Against Property,3
ENT TO ARMY PX SHOP,Crime Against Property,1
ENT TO BRIGGS CHANEY OUTLETS,Crime Against Person,7
ENT TO BRIGGS CHANEY OUTLETS,Crime Against Property,27
ENT TO BRIGGS CHANEY OUTLETS,Crime Against Society,6
ENT TO BUSINESS,Crime Against Person,2
ENT TO BUSINESS,Crime Against Property,9
ENT TO BUSINESS,Crime Against Society,3
ENT TO BUSINESSES,Crime Against Society,1
ENT TO CHURCH,Crime Against Property,1
ENT TO METRO BUS GARAGE,Crime Against Person,1
ENT TO METRO BUS GARAGE,Crime Against Property,4
ENT TO METRO BUS GARAGE,Crime Against Society,2
ENT TO WILLIAM H. FARQUHAR MIDDLE SCHOOL,Crime Against Person,4
ENT TO WILLIAM H. FARQUHAR MIDDLE SCHOOL,Crime Against Property,3
ENT TO WILLIAM H. FARQUHAR MIDDLE SCHOOL,Crime Against Society,3
ESTELLE RD,Crime Against Property,1
ETHAN ALLEN AVE,Crime Against Person,2
ETHAN ALLEN AVE,Crime Against Property,11
ETHAN ALLEN AVE,Crime Against Society,1
EVANSTON ST,Crime Against Property,1
EXIT FR BUSINESS,Crime Against Person,1
EXIT FR BUSINESS,Crime Against Property,7
EXIT FR BUSINESS,Crime Against Society,1
FAIRDALE RD,Crime Against Property,1
FAIRFAX RD,Crime Against Property,1
FAIRLAND RD,Crime Against Person,1
FAIRLAND RD,Crime Against Property,2
FAIRLAND RD,Crime Against Society,1
FAIRMONT AVE,Crime Against Person,1
FAIRMONT AVE,Crime Against Property,1
FALCONWOOD PL,Crime Against Property,3
FALLSGROVE BLVD,Crime Against Property,2
FALLSMEAD WAY,Crime Against Property,1
FARTHING DR,Crime Against Property,2
FENTON ST,Crime Against Person,20
FENTON ST,Crime Against Property,197
FENTON ST,Crime Against Society,36
FENWICK LA,Crime Against Person,16
